occupation	fem1 fem2 ... femx	male1 male2 ... malex	neutral	inconclusiveORwrong
broker	Brokerin, Maklerin, Vermittlerin	Broker, Makler, Vermittler		
carpenter	Schreinerin, Tischlerin, Zimmerin	Schreiner, Tischler, Zimmerer, Zimmermann		Bäcker, SaaveSchreiner, Schichttischler, Zimmermannin, Zimmermannsgeste, Zimmermannsleute, Zimmermannsmeisterin, den Krankenschwester, schreinernden Mann
cashier	Kassiererin, kassiererin	Kassierer, kassierer		Grizzlykassierer, Kasse, Schichtkasse, bargkasse, kasse, schronenKassierer
CEO	GESCHÄFTSFÜHRERIN, GESCHÄFTSFÜHRERin, Geschäftsführerin, weiblicher CEO	CEO, Ceo, GESCHÄFTSFÜHRER, Geschäftsführer		DebonairChef, jovialceo
CFO	weiblicher CFO	CFO	FINANZvorstand	
chemist	Chemikerin	Chemiker		Apotheke
chief	Chefin, Leiterin	Chef, Häuptling, Leiter		Chefredakteur, Chefverhört, Chief, Drahtzieher, GrizzlyChef, Grizzlychefin, Grizzlyhäuptling, Hauptduschen, Häuptlingdie, Häuptlingin, Häuptlingundin, SchampusChef, Schichtchef, Schichtchefin, Schichtchefs, Schichtkopf, Schichtleiter, Schichtleiterin, Schlingelchef, Schurkenhäuptling, Verführer, chief, debonairChef, der angesehenen Oberhaupt, suaveChef
cleaner	Gebäudereinigerin, Putzfrau, Raumpflegerin, Reinigerin	Gebäudereiniger, Putzmann, Raumpfleger, Reiniger	Reinigungskraft	Cleaner, DebonairReinigerin, Lausbuben, Lausbubenreiniger, Luftreiniger, Luftreinigerin, Putzer, Putzfrauen, Raser, Raserin, Reinigerals, Reinigerund, Reinigerundin, Reinigung, Reinigungsdienst, Reinigungskünstler, Reinigungsmann, Reinigungsmittel, Reinigungspersonal, Reinigungsunternehmen, Saubermacher, SaucyReiniger, Schaltreiniger, SchampusReiniger, Schampusreiniger, Schichtputzer, Schichtputzerin, Schichtreiniger, Schichtreinigerin, Schlingelputzer, Schlingelreiniger, Schlingelreinigerin, Sekt, Staubsauger, SuaveReinigerin, cleaner, saubereren
clerk	die Angestellte, Beamtin, Gerichtsschreiberin, Sachbearbeiterin, Schreiberin, Sekretärin, Verkäuferin, der Angestellten, die Büroangestellte	Angestellter, Beamte, Beamten, Gerichtsschreiber, Protokollführer, Sachbearbeiter, Schreiber, Sekretär, Verkäufer, dem Angestellten, der Büroangestellte, Der Angestellte		Clerk, DebonairAngestellten, DebonairMitarbeiter, DebonairMitarbeiterin, DebonairSekretärin, Frau, Kassiererin, Köchin, Schichtangestellte, Schichtangestellten, Schichtarbeiter, Schichtarbeiterin, Schichtschreiber, Schichtschreiberin, Schichtschreibers, Schlingelschreiber, Schreibtischhengstes, Schurken, Schurkenangestellte, Schurkenangestellten, Schurkenangestellten, Schurkenschreiber, SuaveAngestellten, SuaveKaufmann, SuaveMitarbeiterin, clerk, debonairAngestellten, debonairSekretär, debonairSekretärin
collector	Sammlerin	Sammler		Collector, Kollektor
conductor	Dirigentin	Dirigent, Leiter, Schaffner		
construction	Bauarbeiterin, bauarbeiterin	Bauarbeiter		Bauarbeiterauto, Schichtarbeiter, Schichtbauarbeiter, schronenBauarbeiter
cook	Köchin	Koch		Brünetten, DebonairKochin, GrizzlyKoch, GrizzlyKöchin, Grizzlykoch, Lausbuben, Lausbubenkoch, Schichtkoch, Schichtköchin, Schlingel, SuaveKochin
counselor	Anwältin, Beraterin, Ratgeberin, Rechtsberaterin	Anwalt, Berater, Ratgeber, Rechtsberater		Betreuer, Eheberater, SaucyBerater, Schichtberater, Schichtberaterin, Schichtberaters, Vertrauensanwalt, Vertrauenslehrerin, Vertrauenslehrers, counselor
CTO	weiblicher CTO	CTO		
dancer	Tänzerin	Tänzer		
dentist	Zahnärztin	Zahnarzt		
designer	Designerin, Gestalterin, Konstrukteurin	Designer, Gestalter, Konstrukteur		Designerzuüberzeugen, DrahtzieherJob, GrizzledDesigner, Schichtbauer, Schichtdesigner, Schichtdesignerin, Schichtplaner, Schlingelkonstrukteur, grizzled designer, jovialdesigner
developer	Bauunternehmerin, Entwicklerin	Bauunternehmer, Entwickler		Bauherr, Bauherrn, Bauträger, Bauunternehmen, Bäcker, Bäckerin, Drahtzieher, Entwicklerbetrügen, Entwicklerkonnte, Entwicklerund, Entwicklerweigerte, Entwicklerzufinden, Schichtentwickler, Schichtentwicklerin, jovialentwickler
dietitian	Diätassistentin, Ernährungsberaterin	Ernährungsberater		Diätdusche, Diäte, Diäterin
dispatcher	Dispatcherin, Fahrdienstleiterin	Dispatcher, Disponent, Fahrdienstleiter		
doctor	Ärztin	Arzt		
driver	Autofahrerin, Fahrerin, autofahrerin, fahrerin	Autofahrer, Fahrer		Drahtzieher, Fahrerbatin, Fahrerfuhr, Fahrerfürdie, Fahrernahme, GrizzlyFahrer, Grizzlyfahrer, Schaltfahrer, Schichtfahrer, Schlingelfahrer, Treiber
economist	Wirtschaftswissenschaftlerin	Wirtschaftswissenschaftler, Ökonom		
editor	Chefredakteurin, Editorin, Herausgeberin, Redakteurin	Editor, Herausgeber, Herausgebers, Redakteur		Drahtzieher, Editorauftrag, GrizzledRedakteur, Herausgeberzeitung, Redakteursauftrag, Redaktion, Redaktionsauftrag, Redaktionsbefehl, Redaktionszeitung, Schaltredakteur, Schaltredakteurin, SchichtEditorAuftrag, Schichtredakteur, Schichtredakteurin, Schichtredaktion, Schlingelredakteur, berühmte Zeitung, debonairRedakteur, editor, editor's, perky Zeitung, perkyEditor, perkyRedakteur, perkyRedaktionszeitung, saucyRedakteur, schöne Zeitung, shiftyRedakteur, suaveEditor, suaveRedakteur, zeitungspolitische Zeitung
educator	Erzieherin	Erzieher, Pädagoge		Ausbilder
electrician	Elektrikerin	Elektriker		
engineer	Ingenieurin	Ingenieur, Techniker		
examiner	Prüferin	Prüfer		
farmer	Bäuerin, Farmerin, Landwirtin	Bauer, Bauern, Farmer, Landwirt		Bauerin, BauernPetition, Bauernfarm, Bauernhof, Bauernin, Bauernpetition, Bauernstille, Gauners, Landwirtlief, Schichtbauerin, Schichtbauern, liebenBauern
firefighter	Feuerwehrfrau	Feuerwehrmann		Feuerwehr
gardener	Gärtnerin	Gärtner		
geologist	Geologin	Geologe		
guard	Aufseherin, Wächterin, Wärterin	Aufseher, Wachmann, Wächter, Wärter	Wache, wache	Brünettenwächter, Garde, Gardist, Guard, Lausbuben, Lausbubenwache, Raser, Rasergarde, Schaltwächter, Schampuswächter, Schichtgarde, Schichtwache, Schichtwächter, Schlingelwache, Schlingelwächter, Schurke, Schurken, Schurkengarde, Schurkenwache, Schurkenwächter, Sektkellnerin, guard, jovialWache, wacheWache
hairdresser	Friseurin	Friseur		Friseurhaare, Schichtfriseur, Schichtfriseurin, Wechselfriseur
housekeeper	Haushälterin, haushälterin	Haushälter		Haushälterauto, Hausmädchen, schronen Denkerin
hygienist	Hygienikerin	Hygieniker	Hygienefachkraft	Hygienefachfrau, Hygienefrau
inspector	Inspektorin	Inspektor		
instructor	Ausbilderin	Ausbilder, Dozent, Instruktor, Lehrer		Kursleiter, Trainer
investigator	Ermittlerin	Ermittler, Prüfer		Untersuchungsbeauftragte
janitor	Hausmeisterin	Hausmeister		Hausmeisterverliebte
judge	Richterin	Richter		
laborer	Arbeiterin	Arbeiter, Hilfsarbeiter, arbeiter	Arbeitskraft	Arbeiterbaute, Arbeitertrate, Brünettenarbeiterin, Bäckerin, Drahtzieher, Schichtarbeiter, Schlingelarbeiter, Schlingelarbeiterin, Schurkenarbeiter, Schurkenarbeiterin, schronenArbeiter
lawyer	Anwältin, Rechtsanwältin, anwältin	Anwalt, Rechtsanwalt		Anwaltin, Schichtanwalt, Schichtanwältin, anwaltlich suave
librarian	Bibliothekarin	Bibliothekar		Bibliothekare, Bibliothekaren, Bibliothekarers, Bibliothekareundbücher, debonairBibliothekar
machinist	Maschinistin	Maschinist		
manager	Geschäftsführerin, Leiterin, Managerin, Verwalterin	Geschäftsführer, Manager, manager		Brünettenmanagerin, Drahtverwalter, Kassenleiterin, Managerbat, Managerfragte, Schichtleiter, Schichtmanager, Schlingelmanager, jovialmanager, suaveManager
mathematician	Mathematikerin	Mathematiker		
mechanic	Mechanikerin	Mechaniker		DebonairMechanikWirtschaft, DebonairMechanikerökonomie, Mechanic, Mechanik, MechanikerEconomyBegriffen, Mechanikern, MechanikerWirtschaftBegriffe, Mechanikerwirtschaft, Mechanikerzufuhr, Mechanikerökonomie, Mechanikökonomie, SaucyMechaniker, Schichtmechaniker, Schichtmechanikerin, Schlingelmechaniker, Schlingelmechanikerin, Schurkenmechaniker, debonairMechanikerWirtschaft, mechanischen
mover	Möbelpackerin, Möbelspediteurin, Spediteurin	Möbelpacker, Möbelspediteur, Spediteur, Umzugshelfer		Beweger, Blondine, Brünette, Brünetten, Bäckerin, Champagnerspender, DebonairFahrerin, DebonairMacherin, DebonairMitarbeiterin, Drahtzieher, Gauner, GrizzlyMover, Höflichen, Höflichkeit, Kassiererin, Krankentransporter, Macher, Menschenund, Mover, Moverante, Moverbot, Moverging, Moverstellte, Movertabte, Movertabtikerin, Moverundin, Moververpasste, Möbelpachters, Möbelwagen, Putzfrau, Schampus, SchampusMover, Schampusmacherin, Schampusmaschine, Schichtarbeiter, Schichtfahrer, Schichtläufer, Schichtmann, Schichtumzug, Schichtverarbeiter, Schichtwechsels, Schlingel, Schreibtischreiniger, Schreibtischträger, Schurke, Schurken, Schurkenmacher, Sektkegelmacherin, Sektverkäufer, Transporter, Umsetzer, Umsiedler, Umzugbot, Umzugsbearbeiter, Umzugsbegeisterte, Umzugsbeher, Umzugsbeherund, Umzugsbekämpfer, Umzugsbeweger, Umzugsbewirb, Umzugsbewirr, Umzugser, Umzugsfirma, Umzugsperson, Umzugsspediteur, Umzugsteilnehmer, Umzugsunternehmen, Umzugsunternehmens, Umzugsunternehmer, Umzugswagen, Umzugumhaber, Umzugund, Umzugwarteter, Urheber, Verschieber, brünetten Umzug, der umgänglicheren Person, der verheirateten Person, herausragende Mitarbeiterin, höfliche Fahrerin, jovialen Umzug, liebenswürdige Frau, mover, quirligen Umzug, schichtige Umzug, schichtige Umzugskraft, umgänglich handelnde Person, umgänglich handelnden Mitarbeiter, verführerischen Menschen, verführerischen Umzug, verschiebbare Umzug, verschiebbaren Menschen, verschiebbaren Menschen, verschiebbaren Umzug, zwielichtige Mitarbeiterin
musician	Musikerin	Musiker		
nurse	Krankenpflegerin, Krankenschwester, Pflegerin, krankenschwester	Krankenpfleger, Pfleger		GrizzlySchwester, Hilfsschwester, Nurse, Schichtkrankenschwester, Schichtschwester
nutritionist	Ernährungsberaterin, Ernährungswissenschaftlerin	Ernährungsberater, Ernährungswissenschaftler		
officer	Offizierin	Amtsträger, Beamte, Offizier		
painter	Malerin	Lackierer, Maler		
paralegal	Anwaltsgehilfin, Rechtsanwaltsgehilfin, die Rechtsanwaltsfachangestellte	Rechtsanwaltsgehilfe, Der Rechtsanwaltsfachangestellte		Paralegal, ParalegalSanktionen, Paralegalt, Rechtsanwaltsanwärter, Rechtsanwaltsduschen, paralegale, paralegalen
paramedic	Rettungsassistentin, Sanitäterin	Rettungssanitäter, Sanitäter		
pathologist	Pathologin	Pathologe		
pharmacist	Apothekerin	Apotheker		
photographer	Fotografin	Fotograf		
physician	Ärztin	Arzt, Arztes, arzt		Arzthelferin, Schichtarzt, Schichtärztin, Schichtärztin, Schlingelarzt, arztesarzt, arztesiker, arztesärztlichen, arztherbei
physicist	Physikerin	Physiker		
planner	Planerin	Planer		
plumber	Klempnerin	Installateur, Klempner		
practitioner	Praktikerin	Praktiker		Praktizierende, Praktizierender
professor	Professorin	Professor		
programmer	Programmiererin	Programmierer		
psychologist	Psychologin	Psychologe		
receptionist	Empfangsdame, Empfangsmitarbeiterin, Rezeptionistin	Empfangschef, Empfangsmitarbeiter, Rezeptionist, dem Rezeptionisten		DebonairEmpfangs, DebonairEmpfangsmitarbeiter, DebonairEmpfangsunduns, DebonairEmpfänger, DebonairRezeption, DebonairRezeptionist, Empfangsempfänger, Empfangsteilnehmer, Empfangsteilnehmerin, Rezeption, Rezeptionistdes, Rezeptionistnicht, Schichtempfanganten, Schichtempfangsmitarbeiter, Schichtempfangsmitarbeiter, Schichtrezeptionistin, SuaveEmpfang, SuaveEmpfanganten, SuaveEmpfangund, SuaveEmpfänger, SuaveEmpfängerin
sailor	Matrosin	Matrose, Seemann, Segler, dem Matrosen		Matrosen
salesperson	Verkäuferin	Verkäufer		DebonairVerkäufer, Schichtverkäufer, SuaveVerkäufer, debonairVerkäufer, jovialVerkäufer, jovialverkäufer
scientist	Wissenschaftlerin	Wissenschaftler		
secretary	Sekretärin, sekretärin	Sekretär, sekretär		DebonairSekretär, Schichtsekretär, SuaveSekretär, debonairSekretär
sheriff	Vollzugsbeamtin	Sheriff, sheriff		DebonairSheriff, Sheriffbeschwerte, Sheriffin
soldier	Soldatin	Soldat		
specialist	Spezialistin	Fachmann, Spezialist		Spezialduschen
student	Studentin	Kursteilnehmer, Schüler, Student		
supervisor	Aufseherin, Betreuerin, Die Vorgesetzte, Leiterin, Supervisorin, aufseherin	Aufseher, Betreuer, Der Vorgesetzte, Supervisor, Vorarbeiter, Vorgesetzter, aufseher, supervisor	Aufsichtsperson	Aufsichtsbehörde, Datenschutzbeauftragte, DebonairAufseher, DebonairBetreuer, Debütanten, Inspektor, Luftaufsichtsbeamte, Luftfahrtaufseher, Schichtaufseher, Schichtbetreuer, Schichtleiter, SuaveAufseher, SuaveBetreuer, SuaveSupervisor, Supervisornie, Supervisorstellte, Supervisorunds
surgeon	Chirurgin	Chirurg		
surveyor	Gutachterin, Landvermesserin, Vermesserin, Vermessungsingenieurin	Gutachter, Landvermesser, Vermesser, Vermessungsingenieur		Besichtiger, Vermessungsteilnehmer
tailor	Schneiderin	Schneider		DebonairSchneider, Lausbuben, Lausbubenschneiderin, SchichtSchneider, Schichtschneider, Schichtschneiderhaus, Schichtschneiderin, Schlingelschneider, SchneiderSchlamassel, Schneiderchaos, Schneiderduschen, Schneiderei, Schneiderhaus, Schneidermeister, Schneiderzuhause, jovialschneider, schneiderne
teacher	Lehrerin, lehrerin	Lehrer, lehrer	Lehrkraft	Brünettenlehrerin, DebonairLehrer, DebonairLehrerin, Schichtlehrer, Schichtlehrerin, Schurkenlehrer, SuaveLehrer, SuaveLehrerin, lehrerinüber
technician	Technikerin	Techniker		
therapist	Therapeutin	Therapeut		
veterinarian	Tierärztin, Veterinärin	Tierarzt, Veterinär		
writer	Autorin, Schreiberin, Schriftstellerin, Verfasserin, Writerin	Autor, Schreiber, Schriftsteller, Verfasser, Writer		DebonairAutor, DebonairSchreiber, DebonairSchriftsteller, DebonairSchriftstellerhaus, GrizzledAutor, GrizzlySchriftstellers, JovialSchriftstellerhaus, Schichtschreiberhaus, Schichtschreiberin, Schlingelschreiber, Schriftstellerhaus, Schurkenschreiber, SuaveAutor, SuaveSchriftsteller, grizzled writer, grizzledAutor
